item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details
0,,15307,3914600062382790,350200,厦门市,https://image1.ljcdn.com/newhouse-user-image/72e6850bc7573b81ebbf6185c5da583e.jpg,122,144,海沧,海沧,23008801,1100001161,马銮湾,3914600062382790,3,建面 122-144㎡,122-144㎡,建面,毛坯,118.03161415836,24.535298249734,3/4居,融侨观邸,融侨观邸,融侨观邸·一期,海沧新阳大桥旁（翁角路与霞光路交叉路口）,海沧新阳大桥旁（翁角路与霞光路交叉路口）,33000,33000,海沧新阳大桥旁（翁角路与霞光路交叉路口）,rqgdaawqt,['9.5折'],[],"[{'bedroom_count': '3', 'area_range': '127㎡'}]","['品牌房企', '复式', '近主干道', '现房']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '16', 'desc': '复式', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-03-24,0,4210000,33000,元/平,均价,159天,2019-05-29 11:27:06,2,,2,0,均价33000元/平,38,"[{'id': 'img_4909698', 'image_id': '4909698', 'type_id': '101900000003', 'type_name': '项目现场', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/72e6850bc7573b81ebbf6185c5da583e.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/72e6850bc7573b81ebbf6185c5da583e.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/72e6850bc7573b81ebbf6185c5da583e.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/72e6850bc7573b81ebbf6185c5da583e.jpg!m_fill,w_1440,l_rorate_logo'}]",33000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,421,万/套起,33149,元/平起,2017-05-24 16:30:48,新阳大桥旁，轻奢小复式。,0,0,[],[],243852233543426052,"{""fb_query_id"":""243852233518260224"",""fb_expo_id"":""243852233543426052"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""15307""}",,/loupan/p_rqgdaawqt/,[],,['9.5折'],购买1号楼在售房源可享9.5折优惠。,4,楼盘亮点,新阳大桥旁，轻奢小复式。
0,,15308,398078170272334,350200,厦门市,https://image1.ljcdn.com/hdic-resblock/c58c8f50-bc44-4cfa-9b06-1653cb44dac2.jpg,360,410,海沧,海沧,23008801,1100001161,马銮湾,398078170272334,3,建面 360-410㎡,360-410㎡,建面,毛坯,118.046472,24.534219,4/5/6居,禹洲澜山墅,禹洲澜山墅,禹州高尔夫（别墅）,马青路5890-5990号,海沧马青路马銮湾南侧东方高尔夫别墅站,0,45000,马青路5890-5990号,yzlssaawqu,[],[],"[{'bedroom_count': '4', 'area_range': '410㎡'}, {'bedroom_count': '6', 'area_range': '366㎡'}]","['贴心物业', '复式', '多轨交汇', '公交直达']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '16', 'desc': '复式', 'color': ''}, {'id': '45', 'desc': '多轨交汇', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2016-10-01,0,12600000,45000,元/平,均价,159天,2019-05-29 11:31:06,2,,2,0,均价45000元/平,101,"[{'id': 'img_3266613', 'image_id': '3266613', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/c58c8f50-bc44-4cfa-9b06-1653cb44dac2.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/c58c8f50-bc44-4cfa-9b06-1653cb44dac2.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/c58c8f50-bc44-4cfa-9b06-1653cb44dac2.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/c58c8f50-bc44-4cfa-9b06-1653cb44dac2.jpg!m_fill,w_1440,l_rorate_logo'}]",45000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,1600,万/套起,43715,元/平起,2018-12-17 15:10:12,3700亩高尔夫球场,0,0,[],[],243852233543426053,"{""fb_query_id"":""243852233518260224"",""fb_expo_id"":""243852233543426053"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""15308""}",,/loupan/p_yzlssaawqu/,[],,[],购买在售的别墅房源即可享受9.9折优惠。,4,楼盘亮点,3700亩高尔夫球场
0,,15336,3914602351709893,350200,厦门市,https://image1.ljcdn.com/hdic-resblock/45f39349-dbae-41e3-aba0-a923bff922e7.jpg,56,149,集美,集美,23008800,611100683,集美新城,3914602351709893,3,建面 56-149㎡,56-149㎡,建面,精装修,118.08343946482,24.617035041055,2/3居,恒大帝景,恒大帝景,恒大帝景,集美杏林湾路与集美大道交汇处北侧（华侨大学旁）,集美杏林湾路与集美大道交汇处北侧（华侨大学旁）,35000,32000,集美杏林湾路与集美大道交汇处北侧（华侨大学旁）,hddjaawrw,[],[],"[{'bedroom_count': '3', 'area_range': '119-149㎡'}]","['品牌房企', '中式建筑', '多轨交汇', '现房']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '33', 'desc': '中式建筑', 'color': ''}, {'id': '45', 'desc': '多轨交汇', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-99,0,3600000,32000,元/平,均价,159天,2019-05-29 11:11:30,2,,2,0,均价32000元/平,3,"[{'id': 'img_3749080', 'image_id': '3749080', 'type_id': '101900000002', 'type_name': '区位', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/45f39349-dbae-41e3-aba0-a923bff922e7.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/45f39349-dbae-41e3-aba0-a923bff922e7.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/45f39349-dbae-41e3-aba0-a923bff922e7.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/45f39349-dbae-41e3-aba0-a923bff922e7.jpg!m_fill,w_1440,l_rorate_logo'}]",32000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,390,万/套起,31451,元/平起,2017-03-08 13:35:44,品牌房企、非毛坯交付,0,0,[],[],243852233543426054,"{""fb_query_id"":""243852233518260224"",""fb_expo_id"":""243852233543426054"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""15336""}",,/loupan/p_hddjaawrw/,[],,[],,4,楼盘亮点,品牌房企、非毛坯交付
0,,15337,3911632514183192,350200,厦门市,https://image1.ljcdn.com/hdic-resblock/e90a06c0-c3e8-4fc2-b532-95934866c90c.jpg,82,118,集美,集美,23008800,1100001153,锦园,3911632514183192,3,建面 82-118㎡,82-118㎡,建面,毛坯,118.029198,24.591683,2/3居,夏商新纪元,夏商新纪元,新纪元,集美杏前路与海翔大道交叉口,集美区杏前路与海翔大道交叉口,25000,28000,集美杏前路与海翔大道交叉口,xsxjyaawrx,[],[],"[{'bedroom_count': '2', 'area_range': '82-88㎡'}, {'bedroom_count': '3', 'area_range': '88-118㎡'}]","['自持商业', '临近高速', '现房', '绿化率高']","[{'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '46', 'desc': '临近高速', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-03-01,0,2296000,28000,元/平,均价,159天,2019-05-29 11:29:05,2,,0,0,均价28000元/平,101,"[{'id': 'img_3744697', 'image_id': '3744697', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/e90a06c0-c3e8-4fc2-b532-95934866c90c.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/e90a06c0-c3e8-4fc2-b532-95934866c90c.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/e90a06c0-c3e8-4fc2-b532-95934866c90c.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/e90a06c0-c3e8-4fc2-b532-95934866c90c.jpg!m_fill,w_1440,l_rorate_logo'}]",28000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,229.6,万/套起,28000,元/平起,2017-03-23 19:08:13,周边工厂较多，自带底商,0,0,[],[],243852233543426055,"{""fb_query_id"":""243852233518260224"",""fb_expo_id"":""243852233543426055"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""15337""}",,/loupan/p_xsxjyaawrx/,[],,[],,4,楼盘亮点,周边工厂较多，自带底商
0,,15345,3914602749095972,350200,厦门市,https://image1.ljcdn.com/hdic-resblock/214161cf-4d06-48be-84e2-dd3fdb096038.jpg,89,134,集美,集美,23008800,1100001153,锦园,3914602749095972,3,建面 89-134㎡,89-134㎡,建面,毛坯,118.02758485425,24.592037779461,2/3居,凤凰花城,凤凰花城,凤凰花城,集美杏前路与锦园西路交叉口东侧（夏商大学康城旁）,杏林杏前路与锦园西路交汇处康城小学西侧,27300,27300,集美杏前路与锦园西路交叉口东侧（夏商大学康城旁）,fhhcaawsf,[],[],"[{'bedroom_count': '2', 'area_range': '89-93㎡'}, {'bedroom_count': '3', 'area_range': '116-134㎡'}]","['自持商业', '临近高速', '现房', '大型社区']","[{'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '46', 'desc': '临近高速', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-06-20,0,2430000,27300,元/平,均价,159天,2019-05-29 11:08:28,2,,0,0,均价27300元/平,101,"[{'id': 'img_3749476', 'image_id': '3749476', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/214161cf-4d06-48be-84e2-dd3fdb096038.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/214161cf-4d06-48be-84e2-dd3fdb096038.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/214161cf-4d06-48be-84e2-dd3fdb096038.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/214161cf-4d06-48be-84e2-dd3fdb096038.jpg!m_fill,w_1440,l_rorate_logo'}]",27300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,240,万/套起,26940,元/平起,2017-03-07 14:19:35,周边资源不够成熟,0,0,[],[],243852233543426056,"{""fb_query_id"":""243852233518260224"",""fb_expo_id"":""243852233543426056"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""15345""}",,/loupan/p_fhhcaawsf/,[],,[],,4,楼盘亮点,周边资源不够成熟
0,,15357,3911099530425,350200,厦门市,https://image1.ljcdn.com/hdic-resblock/489b75b4-ad3b-42ea-a472-b383ae104e94.jpg,156,175,思明,思明,23008796,611100989,莲前,3911099530425,3,建面 156-175㎡,156-175㎡,建面,精装修,118.141781,24.484115,4居,源昌君悦山,源昌君悦山,"源昌君悦山思明,君悦山",思明区莲前西路龙山南麓（不争公园旁）,厦门市思明区莲前西路龙山南麓（不争公园旁）,74000,63000,思明区莲前西路龙山南麓（不争公园旁）,ycjysaawsr,[],[],"[{'bedroom_count': '4', 'area_range': '156.98-170.33㎡'}]","['近主干道', '低密居所', '绿化率高', '成熟商圈']","[{'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2014-10-01,0,10880000,63000,元/平,均价,245天,2019-03-04 17:59:29,2,,2,0,均价63000元/平,101,"[{'id': 'img_3047943', 'image_id': '3047943', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/489b75b4-ad3b-42ea-a472-b383ae104e94.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/489b75b4-ad3b-42ea-a472-b383ae104e94.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/489b75b4-ad3b-42ea-a472-b383ae104e94.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/489b75b4-ad3b-42ea-a472-b383ae104e94.jpg!m_fill,w_1440,l_rorate_logo'}]",63000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,1045,万/套起,62877,元/平起,2017-02-06 15:29:45,尾盘在售，四房至五房大平层,0,0,[],[],243852233543426057,"{""fb_query_id"":""243852233518260224"",""fb_expo_id"":""243852233543426057"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""15357""}",,/loupan/p_ycjysaawsr/,[],,[],,4,楼盘亮点,尾盘在售，四房至五房大平层
0,,15359,3914601459085788,350200,厦门市,https://image1.ljcdn.com/newhouse-user-image/f8e56218d99d0a57ebe978b5c2a50bc1.jpg,254,363,思明,思明,23008796,611100991,会展中心,3914601459085788,3,建面 254-363㎡,254-363㎡,建面,精装修,118.1877749618,24.479199646577,5/7居,华尔顿1275,华尔顿1275,和昌中心,思明会展中心西北侧,厦门国际会展中心会展北路6号111店面,66000,66000,思明会展中心西北侧,hedaawst,[],[],"[{'bedroom_count': '5', 'area_range': '254㎡'}, {'bedroom_count': '7', 'area_range': '363㎡'}]","['休闲会所', '公交直达', '现房', '绿化率高']","[{'id': '39', 'desc': '休闲会所', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-01-01,0,11350000,66000,元/平,均价,245天,2019-03-04 17:59:29,2,,0,0,均价66000元/平,101,"[{'id': 'img_4981292', 'image_id': '4981292', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/f8e56218d99d0a57ebe978b5c2a50bc1.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/f8e56218d99d0a57ebe978b5c2a50bc1.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/f8e56218d99d0a57ebe978b5c2a50bc1.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/f8e56218d99d0a57ebe978b5c2a50bc1.jpg!m_fill,w_1440,l_rorate_logo'}]",66000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,1371,万/套起,53976,元/平起,2017-09-27 17:17:38,最后一栋在售，6.6万元/㎡,0,0,[],[],243852233543426058,"{""fb_query_id"":""243852233518260224"",""fb_expo_id"":""243852233543426058"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""15359""}",,/loupan/p_hedaawst/,[],,[],,4,楼盘亮点,最后一栋在售，6.6万元/㎡
0,,100168,3920028599920180,350200,厦门市,https://image1.ljcdn.com/hdic-resblock/c1245ff8-6afa-48d1-b460-a4f6ecc28a02.jpg,105,125,同安,同安,23008799,611100678,同安区,3920028599920180,3,建面 105-125㎡,105-125㎡,建面,精装修,118.15341,24.71491,3/4居,融创大同府,融创大同府,融创·大同府,同安区同集北路及阳翟二路交汇处,同集北路与阳翟二路交叉口附近,27000,24000,同安区同集北路及阳翟二路交汇处,rcdtfafseq,[],[],"[{'bedroom_count': '3', 'area_range': '105-108㎡'}, {'bedroom_count': '4', 'area_range': '125㎡'}]","['低总价', '品牌房企', '贴心物业', '多轨交汇']","[{'id': '25', 'desc': '低总价', 'color': ''}, {'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '45', 'desc': '多轨交汇', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-09-99,0,2520000,24000,元/平,均价,161天,2019-05-27 17:55:56,2,,1,0,均价24000元/平,7,"[{'id': 'img_3753235', 'image_id': '3753235', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/c1245ff8-6afa-48d1-b460-a4f6ecc28a02.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/c1245ff8-6afa-48d1-b460-a4f6ecc28a02.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/c1245ff8-6afa-48d1-b460-a4f6ecc28a02.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/c1245ff8-6afa-48d1-b460-a4f6ecc28a02.jpg!m_fill,w_1440,l_rorate_logo'}]",24000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,252,万/套起,23981,元/平起,2018-06-06 11:16:53,同安核心地段 成熟配套,0,0,[],[],243852234931134464,"{""fb_query_id"":""243852234893385728"",""fb_expo_id"":""243852234931134464"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100168""}",,/loupan/p_rcdtfafseq/,[],,[],,4,楼盘亮点,同安核心地段 成熟配套
0,,100350,3920031855032510,350200,厦门市,https://image1.ljcdn.com/newhouse-user-image/9ba39b1dd064e48e46b4d1151efdf2b1.jpg,70,90,翔安,翔安,23008798,611100998,马巷,3920031855032510,3,建面 70-90㎡,70-90㎡,建面,精装修,118.238387,24.648819,3/4居,万科金域缇香,万科金域缇香,金域缇香,翔安区莲亭路企业总部会馆A04栋,厦门市翔安区莲亭路企业总部会馆A04栋,31000,33000,翔安区莲亭路企业总部会馆A04栋,wkjytxafslq,[],[],"[{'bedroom_count': '3', 'area_range': '70㎡'}, {'bedroom_count': '4', 'area_range': '90㎡'}]","['品牌房企', '小户型', '近主干道', '人车分流']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-99,0,2400000,240,万/套,总价,245天,2019-03-04 17:59:29,2,,1,0,总价240万/套,2,"[{'id': 'img_4888245', 'image_id': '4888245', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/9ba39b1dd064e48e46b4d1151efdf2b1.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/9ba39b1dd064e48e46b4d1151efdf2b1.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/9ba39b1dd064e48e46b4d1151efdf2b1.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/9ba39b1dd064e48e46b4d1151efdf2b1.jpg!m_fill,w_1440,l_rorate_logo'}]",33000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,236,万/套起,31000,元/平起,2019-02-22 15:50:29,品牌房企，高使用率小高层,0,0,[],[],243852234931134465,"{""fb_query_id"":""243852234893385728"",""fb_expo_id"":""243852234931134465"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100350""}",,/loupan/p_wkjytxafslq/,[],,[],,4,楼盘亮点,品牌房企，高使用率小高层
0,,100494,3920025345771513,350200,厦门市,https://image1.ljcdn.com/hdic-resblock/f8ef126f-7bf2-4af3-835a-40d70fed6a0b.jpg,108,108,翔安,翔安,23008798,613000398,翔安其他,3920025345771513,1,建面 108㎡,108㎡,建面,精装修,118.250227,24.740102,4居,首开·万科白鹭郡,首开·万科白鹭郡,万科白鹭郡,翔安新圩同新路与进场路交叉口西南侧,翔安新区同新路与进场路交叉口西南侧,29800,32000,翔安新圩同新路与进场路交叉口西南侧,skkbljafsre,['购房送冰箱'],[],[],"['品牌房企', '旅游地产', '低密居所', '车位充足']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2018-10-01,0,3080000,32000,元/平,均价,251天,2019-02-26 10:37:16,2,,1,0,均价32000元/平,24,"[{'id': 'img_3751301', 'image_id': '3751301', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/f8ef126f-7bf2-4af3-835a-40d70fed6a0b.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/f8ef126f-7bf2-4af3-835a-40d70fed6a0b.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/f8ef126f-7bf2-4af3-835a-40d70fed6a0b.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/f8ef126f-7bf2-4af3-835a-40d70fed6a0b.jpg!m_fill,w_1440,l_rorate_logo'}]",32000,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,322,万/套起,29814,元/平起,2018-06-20 11:11:53,建面约89-105平带装修四房,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243852234931134466,"{""fb_query_id"":""243852234893385728"",""fb_expo_id"":""243852234931134466"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100494""}",,/loupan/p_skkbljafsre/,[],,['购房送冰箱'],,4,楼盘亮点,建面约89-105平带装修四房
